TaskName,Description,Subtask,Status,Priority,DueDate,ProjectName,ProjectDescription,Collaborator,CollaboratorCategory,Tags
Fix login bug,Resolve authentication failure on mobile and web clients,Write unit tests,OPEN,HIGH,2026-04-10,Backend,Core backend services and APIs,Alice,SENIOR,"auth,backend,urgent"
Fix login bug,Resolve authentication failure on mobile and web clients,Code review,OPEN,HIGH,2026-04-10,Backend,Core backend services and APIs,Bob,JUNIOR,"auth,backend,urgent"
Fix login bug,Resolve authentication failure on mobile and web clients,Deploy hotfix,OPEN,HIGH,2026-04-10,Backend,Core backend services and APIs,Alice,SENIOR,"auth,backend,urgent"
Refactor database layer,Migrate raw SQL queries to prepared statements throughout the app,Update connection pool config,OPEN,MEDIUM,2026-04-14,Backend,Core backend services and APIs,Carol,INTERMEDIATE,"backend,refactor,database"
Refactor database layer,Migrate raw SQL queries to prepared statements throughout the app,Write migration tests,OPEN,MEDIUM,2026-04-14,Backend,Core backend services and APIs,Bob,JUNIOR,"backend,refactor,database"
Set up CI/CD pipeline,Configure automated build and deploy pipeline for all environments,Create GitHub Actions workflow,OPEN,HIGH,2026-04-07,DevOps,Infrastructure and deployment automation,Dave,SENIOR,"devops,automation,urgent"
Set up CI/CD pipeline,Configure automated build and deploy pipeline for all environments,Configure staging environment,OPEN,HIGH,2026-04-07,DevOps,Infrastructure and deployment automation,Eve,INTERMEDIATE,"devops,automation,urgent"
Set up CI/CD pipeline,Configure automated build and deploy pipeline for all environments,Write deployment runbook,OPEN,HIGH,2026-04-07,DevOps,Infrastructure and deployment automation,,,"devops,automation,urgent"
Design homepage,Create mockups and wireframes for the new marketing homepage,,OPEN,MEDIUM,2026-04-21,Frontend,UI and user experience work,,,frontend
Implement dark mode,Add system-level dark mode support across all app screens,Create color token system,OPEN,LOW,2026-04-28,Frontend,UI and user experience work,Frank,JUNIOR,"frontend,ui"
Implement dark mode,Add system-level dark mode support across all app screens,Update component library,OPEN,LOW,2026-04-28,Frontend,UI and user experience work,Grace,INTERMEDIATE,"frontend,ui"
Write API documentation,Document all REST endpoints with request/response examples,,OPEN,LOW,2026-05-05,Backend,Core backend services and APIs,,,docs
Optimize image loading,Reduce mobile image load time by implementing lazy loading and WebP conversion,Audit current image assets,COMPLETED,HIGH,2026-03-20,Mobile,Native iOS and Android development,Hank,SENIOR,"mobile,performance"
Optimize image loading,Reduce mobile image load time by implementing lazy loading and WebP conversion,Implement lazy loading,COMPLETED,HIGH,2026-03-20,Mobile,Native iOS and Android development,Ivy,INTERMEDIATE,"mobile,performance"
Optimize image loading,Reduce mobile image load time by implementing lazy loading and WebP conversion,Convert assets to WebP,COMPLETED,HIGH,2026-03-20,Mobile,Native iOS and Android development,Hank,SENIOR,"mobile,performance"
Fix crash on startup,App crashes on cold start when offline mode is active,,CANCELLED,CRITICAL,2026-03-15,Mobile,Native iOS and Android development,,,"mobile,bug"
Add push notifications,Integrate Firebase Cloud Messaging for real-time alerts,Register device tokens,OPEN,HIGH,2026-04-17,Mobile,Native iOS and Android development,Jack,SENIOR,"mobile,notifications,urgent"
Add push notifications,Integrate Firebase Cloud Messaging for real-time alerts,Handle notification payloads,OPEN,HIGH,2026-04-17,Mobile,Native iOS and Android development,Ivy,INTERMEDIATE,"mobile,notifications,urgent"
